step,nta,cat,s,e,is,ia,r,d
0,BX44,i,17307.133327605432,0.0,0.0,0.0,0.0,0.0
0,BX44,h,25719.353796011026,0.0,0.0,0.0,0.0,0.0
0,BX46,m,2737.4957770950264,0.0,0.0,0.0,0.0,0.0
0,BX46,c,6159.304152564201,0.0,0.0,0.0,0.0,0.0
0,BX46,i,8416.627631032135,0.0,0.0,0.0,0.0,0.0
0,BX46,h,12507.572439308635,0.0,0.0,0.0,0.0,0.0
0,BX49,m,2909.344463198596,0.0,0.0,0.0,0.0,0.0
0,BX49,c,6062.637170034427,0.0,0.0,0.0,0.0,0.0
0,BX49,i,8487.751676604721,0.0,0.0,0.0,0.0,0.0
0,BX49,h,12613.266690162258,0.0,0.0,0.0,0.0,0.0
0,BX52,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BX52,c,13176.786911681671,0.0,0.0,0.0,0.0,0.0
0,BX52,i,12465.617939700089,0.0,0.0,0.0,0.0,0.0
0,BX52,h,18524.59514861824,0.0,0.0,0.0,0.0,0.0
0,BX55,m,3776.436047275355,0.0,0.0,0.0,0.0,0.0
0,BX55,c,6854.614846171442,0.0,0.0,0.0,0.0,0.0
0,BX55,i,10057.27872989501,0.0,0.0,0.0,0.0,0.0
0,BX55,h,14945.670376658192,0.0,0.0,0.0,0.0,0.0
0,BX59,m,3256.869567338062,0.0,0.0,0.0,0.0,0.0
0,BX59,c,4872.30130162524,0.0,0.0,0.0,0.0,0.0
0,BX59,i,7690.428546673942,0.0,0.0,0.0,0.0,0.0
0,BX59,h,11428.400584362756,0.0,0.0,0.0,0.0,0.0
0,BX62,m,5760.479525507199,0.0,0.0,0.0,0.0,0.0
0,BX62,c,6913.9026686416555,0.0,0.0,0.0,0.0,0.0
0,BX62,i,11990.32868277852,0.0,0.0,0.0,0.0,0.0
0,BX62,h,17818.289123072627,0.0,0.0,0.0,0.0,0.0
0,BX63,m,5461.237851242848,0.0,0.0,0.0,0.0,0.0
0,BX63,c,6258.157703462689,0.0,0.0,0.0,0.0,0.0
0,BX63,i,11086.883961041023,0.0,0.0,0.0,0.0,0.0
0,BX63,h,16475.72048425344,0.0,0.0,0.0,0.0,0.0
0,BX75,m,2244.152730752365,0.0,0.0,0.0,0.0,0.0
0,BX75,c,3805.2893460961695,0.0,0.0,0.0,0.0,0.0
0,BX75,i,5722.945524108468,0.0,0.0,0.0,0.0,0.0
0,BX75,h,8504.612399042999,0.0,0.0,0.0,0.0,0.0
0,BX98,m,0.0,0.0,0.0,0.0,0.0,0.0
0,BX98,c,3308.8899775275977,0.0,0.0,0.0,0.0,0.0
0,BX98,i,3130.3047200220453,0.0,0.0,0.0,0.0,0.0
0,BX98,h,4651.805302450357,0.0,0.0,0.0,0.0,0.0
0,BX99,m,220.19108860094488,0.0,0.0,0.0,0.0,0.0
0,BX99,c,348.4451296992627,0.0,0.0,0.0,0.0,0.0
0,BX99,i,537.9461542117049,0.0,0.0,0.0,0.0,0.0
0,BX99,h,799.4176274880874,0.0,0.0,0.0,0.0,0.0
0,MN01,m,1271.7198820003637,0.0,0.0,0.0,0.0,0.0
0,MN01,c,1530.547423437906,0.0,0.0,0.0,0.0,0.0
0,MN01,i,25522.76170855231,0.0,0.0,0.0,0.0,0.0
0,MN01,h,18420.970986009423,0.0,0.0,0.0,0.0,0.0
0,MN03,m,1584.4641399748746,0.0,0.0,0.0,0.0,0.0
0,MN03,c,2928.4415051713163,0.0,0.0,0.0,0.0,0.0
0,MN03,i,41103.07934247283,0.0,0.0,0.0,0.0,0.0
0,MN03,h,29666.015012380973,0.0,0.0,0.0,0.0,0.0
0,MN04,m,1351.5079262656027,0.0,0.0,0.0,0.0,0.0
0,MN04,c,1557.1047819846187,0.0,0.0,0.0,0.0,0.0
0,MN04,i,26491.344673318745,0.0,0.0,0.0,0.0,0.0
0,MN04,h,19120.042618431034,0.0,0.0,0.0,0.0,0.0
0,MN06,m,482.68013954758425,0.0,0.0,0.0,0.0,0.0
0,MN06,c,893.0960693218012,0.0,0.0,0.0,0.0,0.0
0,MN06,i,12530.427870005466,0.0,0.0,0.0,0.0,0.0
0,MN06,h,9043.79592112515,0.0,0.0,0.0,0.0,0.0
0,MN09,m,1598.058600581939,0.0,0.0,0.0,0.0,0.0
0,MN09,c,1754.6990284313881,0.0,0.0,0.0,0.0,0.0
0,MN09,i,30536.570820981946,0.0,0.0,0.0,0.0,0.0
0,MN09,h,22039.67155000473,0.0,0.0,0.0,0.0,0.0
0,MN11,m,1081.5811888198625,0.0,0.0,0.0,0.0,0.0
0,MN11,c,1519.0854460115338,0.0,0.0,0.0,0.0,0.0
0,MN11,i,23686.603585378958,0.0,0.0,0.0,0.0,0.0
0,MN11,h,17095.729779789646,0.0,0.0,0.0,0.0,0.0
0,MN12,m,3335.7465844587227,0.0,0.0,0.0,0.0,0.0
